clusterID,pca1,pca2,Row_id,Tweets,Class
0,-0.70,-0.46,402,help our friends in ellicottcity,help/rescue
0,-0.69,-0.41,519,donate to my home ,help/rescue
0,-0.69,-0.44,308,lets take a break from trumps narcissistic ranting and see what we can do to help out ellicott city md,help/rescue
0,-0.67,-0.46,74,praying for my city,help/rescue
0,-0.66,-0.46,453,getting off politics praying4ellicottcity,help/rescue
0,-0.66,-0.47,94,preservation maryland,help/rescue
0,-0.66,-0.38,595,like it was raining pretty good where im at but not floodinducingly sohope everyone in ellicottcity is going to be alright!,help/rescue
0,-0.65,-0.46,238,the ellicott city floodhow did it happen? explanation here,help/rescue
0,-0.65,-0.46,287,she leaned out the passenger side,help/rescue
0,-0.65,-0.38,55,ellicott city got it really bad,help/rescue
0,-0.65,-0.45,153,inside a building,help/rescue
0,-0.65,-0.46,106,our hearts are with ellicott city,help/rescue
0,-0.64,-0.44,95,protecting the best of maryland,help/rescue
0,-0.63,-0.36,571,if anyone can donate to help the flood victims please do so! they are in much need! please rt to help!ellicottcity,help/rescue
0,-0.63,-0.48,429,floodwaters rush through ellicott city maryland,help/rescue
0,-0.61,-0.43,28,residents evacuate to higher ground during ellicott city flooding,help/rescue
0,-0.61,-0.13,159,im no fan of howard county residents but i feel just awful for the people of ellicott city after last nights floodmy prayers are with them,help/rescue
0,-0.61,-0.33,223,helping the flood victims the ellicott city partnership has setup a page to help ellicottcity victims read more ,help/rescue
0,-0.61,-0.16,315,whats crazy is im looking at areas to move to and a friend suggested ellicott city after last nights floodthats gonna be a no for me,help/rescue
0,-0.60,-0.42,302,this is shocking and unreal near where i grew up,help/rescue
0,-0.60,-0.41,538,ravenhuwolf man stands top of car waiting for rescue in north baltimore,help/rescue
0,-0.59,-0.35,611,looking to volunteer to help flood relief for ellicott city! all inquiries welcome! get me off my ass i wanna help,help/rescue
0,-0.58,-0.26,126,my prayers go out to the flood victims of ellicott city md where babe ruth got married and let his wife speak during the ceremony,help/rescue
0,-0.57,-0.35,233,hocogovexec tail wags canine training is available to victims of the ellicott city flood for pet boarding at no charge 4104585994 hocomd,help/rescue
0,-0.57,-0.32,499,ditto hanhew all my prayers blessings & love go out to all impacted by the flood love ellicott city with my whole heart,help/rescue
0,-0.56,-0.35,621,to help ellicottcity flood clean up consider donations of shovels rubber gloves buckets and sponges text 4109179576,help/rescue
0,-0.56,-0.21,498,alert!  flood waters are still high in areas of ellicott city and columbia took me forever to get home because,help/rescue
0,-0.56,-0.31,236,the ellicott city partnership is accepting donations to assist the flood victims,help/rescue
0,-0.55,-0.29,532,sigh here come nimbys to explain why a 100yr flood in old ellicottcity means time to ban development esp affordable townhomes/apartments,help/rescue
0,-0.55,-0.34,444,highlyanne flood 4th largest on patasco r but higher in ellicott city proper  b/c of ppt bulleseye on trib wsheds,help/rescue
0,-0.55,-0.28,328,prayers go out to all of those who lost their stores and homes in ellicott city thank you to all that helped saving people during the flood,help/rescue
0,-0.55,-0.21,263,this website has been set up to help assist flood victims in ellicott citywbaltv11 ellicottcity pictwittercom/trvzabdcdd,help/rescue
0,-0.55,-0.03,524,arb blue captured a human chain formed by local business owners 2 rescue woman from ellicott city flood jimcantorepictwittercom/mjswgc05df,help/rescue
0,-0.55,-0.30,252,folks dining at portallis in ellicottcity captured the flood as it unfolded scary stuff hocomd,help/rescue
0,-0.55,-0.29,572,donate to assist ellicott city flood victims visit,help/rescue
0,-0.55,0.10,316,ellicott city biz owners formed human chain to rescue woman trapped in car in flood waters,help/rescue
0,-0.54,-0.30,53,old ellicott city was overrated anyways *opens the flood gates* pun 100% intended,help/rescue
0,-0.54,-0.32,551,churchmetanoia is coordinating flood relief efforts in ellicott city  click here to help,help/rescue
0,-0.54,-0.27,204,thank god we wasnt driving to fast to realize that flood was right in front of us  that shit was scary ellicottcity,help/rescue
0,-0.54,-0.34,554,3hr radar loop (555855p) of ellicott city md flood via ucar discrete cells merge into a training mess mdwxpictwittercom/2acbkjzm07,help/rescue
0,-0.54,-0.30,66,multiple water rescues happening in ellicott city (howard county) if you are in need of help call 911 do not try to drive thru the flood!,help/rescue
0,-0.54,-0.31,325,avalon will remain closed until further notice relating to the flood in ellicott city  all other areas of the park are open,help/rescue
0,-0.54,-0.28,514,the ellicott city freak flood was clearly mother natures retribution for our mocking of the rain bomb on friday,help/rescue
0,-0.54,-0.23,175,speechless about ellicottcity my old lil house was right in the wake of the flood hope its still standing  sendingmylove,help/rescue
0,-0.54,-0.29,114,stury scott type in ellicott city in twitter flood surreal example deep water & what looks like strong current,help/rescue
0,-0.53,-0.27,62,ellicottcity trending! im your neighbor in col anybody recall yr flood  went uphill main st & 1/2 up 3stories w/ppl in them?me praying,help/rescue
0,-0.53,-0.30,181,god works in mysterious ways like closing early instead of at 8 & in doing so you dont get stranded in ellicottcity during the flood,help/rescue
0,-0.53,-0.22,511,with teamwork and the help of random strangers we pushed my vehicle out of the flood in ellicottcity some water damage but good otherwise,help/rescue
0,-0.53,-0.26,103,iijeriichoii hey man dont know if you heard but old ellicott city md literally just got obliterated by a flood,help/rescue
0,-0.53,-0.31,597,flood disaster recovery fund for ellicott city by preservation maryland if anyone remembers the lovely tea we,help/rescue
0,-0.53,-0.30,144,the patapsco river can be wayward  there is reason why every building in ellicott city has to get flood insurance,help/rescue
0,-0.53,-0.20,513,recovered bumper of a vehicle in ellicottcity flood i sure hope everyone got out ok ellicottcityflooding2016pictwittercom/lwtkoclgx9,help/rescue
0,-0.53,-0.29,245,the ellicottcity partnership is collecting donations for flood victims,help/rescue
